Match_No,Runs,Opponent,Ground,Date,Match_Type
500,29,South Africa,CapeTown,11-Jan-22,Test
501,51,South Africa,Paarl,19-Jan-22,ODI
502,0,South Africa,Paarl,21-Jan-22,ODI
503,65,South Africa,CapeTown,23-Jan-22,ODI
504,8,WestIndies,Ahmedabad,06-Feb-22,ODI
505,18,WestIndies,Ahmedabad,09-Feb-22,ODI
506,0,WestIndies,Ahmedabad,11-Feb-22,ODI
507,17,WestIndies,Kolkata,16-Feb-22,T20
508,52,WestIndies,Kolkata,18-Feb-22,T20
509,45,SriLanka,Mohali,04-Mar-22,Test
510,23,SriLanka,Bengaluru,12-Mar-22,Test
511,13,SriLanka,Bengaluru,12-Mar-22,Test
512,11,England,Birmingham,01-Jul-22,Test
513,20,England,Birmingham,01-Jul-22,Test
514,1,England,Birmingham,09-Jul-22,T20
515,11,England,Nottingham,10-Jul-22,T20
516,16,England,Lord's,14-Jul-22,ODI
517,17,England,Manchester,17-Jul-22,ODI
518,35,Pakistan,Dubai(DSC),28-Aug-22,T20
519,59,Hong Kong,Dubai(DSC),31-Aug-22,T20
520,60,Pakistan,Dubai(DSC),04-Sep-22,T20
521,0,SriLanka,Dubai (DICS),06-Sep-22,T20
522,122,Afghanistan,Dubai (DICS),08-Sep-22,T20
523,2,Australia,Mohali,20-Sep-22,T20
524,11,Australia,Nagpur,23-Sep-22,T20
525,63,Sri Lanka,Hyderabad,25-Sep-22,T20
526,3,Afghanistan,Thiruvananthapuram,28-Sep-22,T20
527,49,Australia,Guwahati,02-Oct-22,T20
528,82,Australia,Melbourne,23-Oct-22,T20
529,62,Australia,Sydney,27-Oct-22,T20
530,12,South Africa,Perth,30-Oct-22,T20
531,64,South Africa,Adelaide,02-Nov-22,T20
532,26,Pakistan,Melbourne,06-Nov-22,T20
533,50,Netherlands,Adelaide,10-Nov-22,T20
534,9,South Africa,Mirpur,04-Dec-22,ODI
535,5,Bangladesh,Mirpur,07-Dec-22,ODI
536,113,Zimbabwe,Chattogram,10-Dec-22,ODI
537,1,England,Chattogram,14-Dec-22,Test
538,19,Bangladesh,Chattogram,14-Dec-22,Test
539,24,Bangladesh,Mirpur,22-Dec-22,Test
540,1,Bangladesh,Mirpur,22-Dec-22,Test
541,113,Bangladesh,Guwahati,10-Jan-23,ODI
542,4,Bangladesh,Eden Gardens,12-Jan-23,ODI
543,166,Bangladesh,Thiruvananthapuram,15-Jan-23,ODI
544,8,Bangladesh,Hyderabad,18-Jan-23,ODI
545,11,Sri Lanka,Raipur,21-Jan-23,ODI
546,36,Sri Lanka,Indore,24-Jan-23,ODI
547,12,Sri Lanka,Nagpur,09-Feb-23,Test
548,44,New Zealand,Delhi,17-Feb-23,Test
549,20,New Zealand,Delhi,17-Feb-23,Test
550,22,New Zealand,Indore,01-Mar-23,Test
551,13,Australia,Indore,01-Mar-23,Test
552,186,Australia,Ahmedabad,09-Mar-23,Test
553,4,Australia,Wankhede,17-Mar-23,ODI
554,31,Australia,Visakhapatnam,19-Mar-23,ODI
555,54,Australia,Chennai,22-Mar-23,ODI
556,14,Australia,The Oval,07-Jun-23,Test
557,49,Australia,The Oval,07-Jun-23,Test
558,76,Australia,Roseau,12-Jul-23,Test
559,121,Australia,Port of Spain,20-Jul-23,Test
560,4,West Indies,Pallekele,02-Sep-23,ODI
561,122,West Indies,Colombo (RPS),10-Sep-23,ODI
562,3,West Indies,Colombo (RPS),12-Sep-23,ODI
563,56,Nepal,Rajkot,27-Sep-23,ODI
564,85,Pakistan,Chennai,08-Oct-23,ODI
565,55,Sri Lanka,Delhi,11-Oct-23,ODI
566,16,Sri Lanka,Ahmedabad,14-Oct-23,ODI
567,103,Australia,Pune,19-Oct-23,ODI
568,95,Australia,Dharamsala,22-Oct-23,ODI
569,0,Afghanistan,Lucknow,29-Oct-23,ODI
570,88,Pakistan,Wankhede,02-Nov-23,ODI
571,101,Bangladesh,Eden Gardens,05-Nov-23,ODI
572,51,New Zealand,Bengaluru,12-Nov-23,ODI
573,117,England,Wankhede,15-Nov-23,ODI
574,54,Sri Lanka,Ahmedabad,19-Nov-23,ODI
575,38,South Africa,Centurion,26-Dec-23,Test
576,76,Netherlands,Centurion,26-Dec-23,Test
577,46,New Zealand,Cape Town,03-Jan-24,Test
578,12,Australia,Cape Town,03-Jan-24,Test
